model_name,round_id,epc_peak_mb,epc_heap_mb,epc_stack_mb,pages_swapped_in,pages_swapped_out,page_faults_total,ops_inside,ops_outside,percent_inside,attestation_ms,local_training_ms,commit_hash_ms,total_round_ms,host_overhead_vs_plain,notes
3D-ResNet-18,0,98.45,70.88,7.88,17,16,44,7,2,77.8,13.3,417.2,3.2,463.7,1.17,sim
3D-ResNet-18,1,95.65,68.87,7.65,2,3,13,7,2,77.8,16.2,410.7,2.9,459.8,1.179,sim
3D-ResNet-18,2,97.2,69.98,7.78,15,13,39,7,2,77.8,13.1,391.5,2.9,437.5,1.176,sim
3D-ResNet-18,3,95.25,68.58,7.62,0,1,16,7,2,77.8,12.1,457.0,3.3,502.5,1.157,sim
3D-ResNet-18,4,105.08,75.66,8.41,30,31,68,7,2,77.8,12.5,443.9,2.5,488.9,1.159,sim
3D-ResNet-18,5,99.25,71.46,7.94,19,18,50,7,2,77.8,14.9,409.2,3.3,457.4,1.176,sim
3D-ResNet-18,6,99.6,71.71,7.97,20,17,48,7,2,77.8,13.7,435.1,2.9,481.7,1.165,sim
3D-ResNet-18,7,100.43,72.31,8.03,21,19,52,7,2,77.8,16.2,402.0,3.1,451.4,1.182,sim
3D-ResNet-18,8,106.81,76.91,8.55,34,28,67,7,2,77.8,11.9,401.6,3.3,446.8,1.171,sim
3D-ResNet-18,9,99.63,71.73,7.97,20,19,43,7,2,77.8,14.8,420.4,3.3,468.5,1.173,sim
3D-ResNet-50,0,121.6,87.55,9.73,64,54,129,7,2,77.8,13.3,417.2,3.2,463.7,1.17,sim
3D-ResNet-50,1,121.6,87.55,9.73,64,54,129,7,2,77.8,12.6,410.7,2.6,455.9,1.169,sim
3D-ResNet-50,2,121.6,87.55,9.73,64,54,129,7,2,77.8,13.1,415.5,2.9,461.5,1.169,sim
3D-ResNet-50,3,121.6,87.55,9.73,64,53,132,7,2,77.8,12.1,457.0,3.3,502.5,1.157,sim
3D-ResNet-50,4,121.6,87.55,9.73,64,58,129,7,2,77.8,12.5,443.9,2.5,488.9,1.159,sim
3D-ResNet-50,5,121.6,87.55,9.73,64,54,131,7,2,77.8,14.9,409.2,3.3,457.4,1.176,sim
3D-ResNet-50,6,121.6,87.55,9.73,64,52,127,7,2,77.8,13.7,435.1,2.9,481.7,1.165,sim
3D-ResNet-50,7,121.6,87.55,9.73,64,54,130,7,2,77.8,16.2,402.0,3.1,451.4,1.182,sim
3D-ResNet-50,8,121.6,87.55,9.73,64,52,121,7,2,77.8,11.9,401.6,3.3,446.8,1.171,sim
3D-ResNet-50,9,121.6,87.55,9.73,64,54,122,7,2,77.8,14.8,420.4,3.3,468.5,1.173,sim
MLP-MIMIC,0,31.46,22.65,2.52,2,2,18,7,2,77.8,13.1,417.2,2.8,463.2,1.169,sim
MLP-MIMIC,1,30.47,21.94,2.44,2,3,14,7,2,77.8,13.1,401.5,3.2,447.8,1.174,sim
MLP-MIMIC,2,33.38,24.03,2.67,0,2,15,7,2,77.8,14.4,427.9,2.8,475.1,1.169,sim
MLP-MIMIC,3,30.05,21.64,2.4,1,3,14,7,2,77.8,14.3,416.8,3.3,464.4,1.173,sim
MLP-MIMIC,4,30.06,21.64,2.4,2,3,18,7,2,77.8,14.9,388.3,3.3,436.5,1.183,sim
MLP-MIMIC,5,31.83,22.92,2.55,0,1,15,7,2,77.8,13.3,435.1,2.9,481.3,1.164,sim
MLP-MIMIC,6,29.97,21.58,2.4,4,9,21,7,2,77.8,13.7,396.1,3.1,442.9,1.177,sim
MLP-MIMIC,7,32.37,23.31,2.59,1,1,15,7,2,77.8,14.1,409.6,3.3,457.1,1.175,sim
MLP-MIMIC,8,30.35,21.85,2.43,1,2,13,7,2,77.8,13.4,413.4,2.9,459.8,1.171,sim
MLP-MIMIC,9,31.42,22.62,2.51,2,5,15,7,2,77.8,14.2,416.7,2.9,463.7,1.171,sim
2D-ResNet-18,0,48.72,35.07,3.9,2,2,18,7,2,77.8,13.1,417.2,2.8,463.2,1.169,sim
2D-ResNet-18,1,47.18,33.97,3.77,2,3,14,7,2,77.8,13.1,401.5,3.2,447.8,1.174,sim
2D-ResNet-18,2,51.69,37.21,4.13,0,2,15,7,2,77.8,14.4,427.9,2.8,475.1,1.169,sim
2D-ResNet-18,3,46.53,33.5,3.72,1,3,14,7,2,77.8,14.3,416.8,3.3,464.4,1.173,sim
2D-ResNet-18,4,46.55,33.51,3.72,2,3,18,7,2,77.8,14.9,388.3,3.3,436.5,1.183,sim
2D-ResNet-18,5,49.29,35.49,3.94,0,1,15,7,2,77.8,13.3,435.1,2.9,481.3,1.164,sim
2D-ResNet-18,6,46.41,33.41,3.71,4,9,21,7,2,77.8,13.7,396.1,3.1,442.9,1.177,sim
2D-ResNet-18,7,50.13,36.09,4.01,1,1,15,7,2,77.8,14.1,409.6,3.3,457.1,1.175,sim
2D-ResNet-18,8,46.99,33.83,3.76,1,2,13,7,2,77.8,13.4,413.4,2.9,459.8,1.171,sim
2D-ResNet-18,9,48.65,35.03,3.89,2,5,15,7,2,77.8,14.2,416.7,2.9,463.7,1.171,sim
